area,bath_bal,bhks,location,price,title
750,"


	2 Baths, 1 Balcony




",2 BHK ,in Ankur Vihar, ₹18 L,2 BHK Residential Apartment 
100,"




",2 BHK ,in Girdharpur Sunarasi, ₹16.5 L,Residential Land/Plot 
950,"


	2 Baths, 3 Balconies




",3 BHK ,in Raj Nagar Extension, ₹26.76 L,2 BHK Residential Apartment 
1225 - 1995,"


	




",2 BHK ,in Raj Nagar Extension, ₹34.3 L - 55.86 L,3 BHK Residential Apartment 
885 - 1035,"


	2 Baths




",2 BHK ,in Raj Nagar Extension, ₹24.78 L - 28.98 L,2 BHK Residential Apartment 
975 - 1125,"


	2 Baths




",3 BHK ,in Raj Nagar Extension, ₹26.32 L - 30.36 L,2 BHK Residential Apartment 
1225 - 1375,"


	2 Baths




",3 BHK ,in Raj Nagar Extension, ₹33.06 L - 37.11 L,3 BHK Residential Apartment 
1430,"


	2 Baths, 3 Balconies




",3 BHK ,in Raj Nagar Extension, ₹48.63 L,3 BHK Residential Apartment 
1175 - 1625,"


	




",3 BHK ,in Raj Nagar Extension, ₹31.73 L - 43.88 L,3 BHK Residential Apartment 
1500,"


	3 Baths




",2 BHK ,in Raj Nagar Extension, ₹43.5 L,3 BHK Residential Apartment 
915,"


	2 Baths, 2 Balconies




",3 BHK ,in Raj Nagar Extension, ₹33 L,2 BHK Residential Apartment 
1395,"


	2 Baths, 3+ Balconies




",2 BHK ,in Raj Nagar Extension, ₹41.85 L,3 BHK Residential Apartment 
995 - 1180,"


	2 Baths




",2 BHK ,in Raj Nagar Extension, ₹26.87 L - 31.86 L,2 BHK Residential Apartment 
900 - 1250,"


	2 Baths




",2 BHK ,in Raj Nagar Extension, ₹26.1 L - 36.25 L,2 BHK Residential Apartment 
920,"


	2 Baths, 3 Balconies




",2 BHK ,in Raj Nagar Extension, ₹26.22 L,2 BHK Residential Apartment 
995,"


	2 Baths, 3 Balconies




",2 BHK ,in Raj Nagar Extension, ₹29.85 L,2 BHK Residential Apartment 
830 - 1150,"


	2 Baths




",3 BHK ,in Raj Nagar Extension, ₹21.58 L - 29.9 L,2 BHK Residential Apartment 
1600 - 1880,"


	2 Baths




",3 BHK ,in Crossing Republik, ₹57.75 L - 67.86 L,3 BHK Residential Apartment 
1450,"


	3 Baths, 3+ Balconies




",3 BHK ,in Raj Nagar Extension, ₹42.05 L,3 BHK Residential Apartment 
1380,"


	3 Baths




",2 BHK ,in Raj Nagar Extension, ₹35.88 L,3 BHK Residential Apartment 
850 - 1250,"


	2 Baths




",3 BHK ,in Raj Nagar Extension, ₹22.09 L - 32.49 L,2 BHK Residential Apartment 
1500 - 1850,"


	




",2 BHK ,in Raj Nagar Extension, ₹38.99 L - 48.08 L,3 BHK Residential Apartment 
895 - 1095,"


	2 Baths




",3 BHK ,in Raj Nagar Extension, ₹24.17 L - 29.57 L,2 BHK Residential Apartment 
1650,"


	2 Baths, 3 Balconies




",2 BHK ,in Indirapuram, ₹77 L,3 BHK Residential Apartment 
1320,"


	2 Baths, 3 Balconies




",2 BHK ,in Ahinsa Khand 1, ₹53 L,2 BHK Residential Apartment 
895 - 1125,"


	2 Baths




",3 BHK ,in Raj Nagar Extension, ₹22.38 L - 28.13 L,2 BHK Residential Apartment 
1550,"


	2 Baths, 3 Balconies




",3 BHK ,in Ahinsa Khand 1, ₹70 L,3 BHK Residential Apartment 
1600,"


	3 Baths, 3 Balconies




",3 BHK ,in Indirapuram, ₹83 L,3 BHK Residential Apartment 
1566,"


	2 Baths, 3 Balconies




",3 BHK ,in Ahinsa Khand 1, ₹96 L,3 BHK Residential Apartment 
